# Algoritmo,Ordenação do Vetor,Tamanho do vetor (n),t1 (ms),t2 (ms),t3 (ms),t4 (ms),t5 (ms),t6 (ms),t7 (ms),t8 (ms),t9 (ms),t10 (ms),Média (ms),Min,Max
MinMax1,Aleatória,1000,0.006216,0.005308,0.005238,0.005308,0.005168,0.005239,0.004749,0.005378,0.004750,0.005099,0.005245,2,1000
MinMax1,Crescente,1000,0.010546,0.006775,0.005727,0.005238,0.006286,0.006146,0.005238,0.005657,0.005797,0.005727,0.006314,2,1000
MinMax1,Decrescente,1000,0.010616,0.006705,0.006146,0.005797,0.005727,0.005657,0.005658,0.005797,0.005797,0.005587,0.006349,2,1000
MinMax1,Aleatória,10000,0.036527,0.036737,0.040997,0.040578,0.039601,0.037086,0.036388,0.036667,0.036807,0.036178,0.037757,1,1000
MinMax1,Crescente,10000,0.050495,0.049518,0.049518,0.049308,0.049239,0.049588,0.048959,0.049239,0.049308,0.049168,0.049434,1,1000
MinMax1,Decrescente,10000,0.050845,0.049308,0.049238,0.049588,0.049029,0.049308,0.049309,0.049239,0.049587,0.049029,0.049448,1,1000
MinMax1,Aleatória,100000,0.361083,0.359547,0.360734,0.355705,0.408785,0.430436,0.378264,0.373655,0.409065,0.353261,0.379053,1,1000
MinMax1,Crescente,100000,0.367369,0.367858,0.362899,0.388182,0.366740,0.366042,0.365623,0.361711,0.365623,0.365832,0.367788,1,1000
MinMax1,Decrescente,100000,0.367159,0.362340,0.362130,0.361991,0.361991,0.361641,0.362410,0.357870,0.357591,0.378404,0.363353,1,1000
MinMax1,Aleatória,500000,1.765255,1.759039,1.799687,1.765674,1.771401,1.812398,1.781737,1.763578,1.792633,1.872323,1.788373,1,1000
MinMax1,Crescente,500000,1.808837,1.772519,1.787884,1.772937,1.815122,1.942513,1.881332,1.776639,1.790398,1.788023,1.813620,1,1000
MinMax1,Decrescente,500000,2.010540,1.815681,1.755756,1.735292,1.788023,1.739134,1.759527,1.759109,1.750658,2.019899,1.813362,1,1000
MinMax2,Aleatória,1000,0.005727,0.006216,0.005727,0.005727,0.005796,0.005657,0.005238,0.004261,0.006286,0.005168,0.005580,2,1000
MinMax2,Crescente,1000,0.010406,0.005797,0.004749,0.004749,0.005169,0.004330,0.005308,0.005168,0.003841,0.005657,0.005517,2,1000
MinMax2,Decrescente,1000,0.010127,0.005727,0.006146,0.006146,0.005797,0.005657,0.005168,0.005797,0.004888,0.005727,0.006118,2,1000
MinMax2,Aleatória,10000,0.035270,0.036248,0.035620,0.036109,0.035690,0.036178,0.035759,0.035829,0.035759,0.035690,0.035815,1,1000
MinMax2,Crescente,10000,0.048750,0.048051,0.047842,0.047213,0.062927,0.047772,0.047702,0.047143,0.047423,0.047772,0.049259,1,1000
MinMax2,Decrescente,10000,0.052382,0.051892,0.050915,0.051124,0.051613,0.051474,0.051125,0.051544,0.051404,0.051054,0.051453,1,1000
MinMax2,Aleatória,100000,0.343972,0.343692,0.348232,0.348231,0.348441,0.348232,0.349209,0.348860,0.348371,0.406410,0.353365,1,1000
MinMax2,Crescente,100000,0.359616,0.358708,0.359197,0.371699,0.422893,0.428899,0.414372,0.414512,0.361781,0.365902,0.385758,1,1000
MinMax2,Decrescente,100000,0.363038,0.374353,0.364785,0.358639,0.358569,0.358848,0.362899,0.381756,0.358498,0.362689,0.364407,1,1000
MinMax2,Aleatória,500000,1.852977,1.720626,1.817218,1.749052,1.765464,1.752684,1.719578,2.029467,1.719509,1.726073,1.785265,1,1000
MinMax2,Crescente,500000,1.751566,1.765743,1.740531,1.831116,1.836074,2.012215,1.751426,1.753242,1.736969,1.736690,1.791557,1,1000
MinMax2,Decrescente,500000,1.800036,1.755267,1.735293,1.789979,1.751705,1.755687,1.781598,1.733268,1.794309,1.734175,1.763132,1,1000
MinMax3,Aleatória,1000,0.009149,0.005169,0.004819,0.004679,0.004819,0.004749,0.005168,0.004819,0.004261,0.004330,0.005196,2,1000
MinMax3,Crescente,1000,0.004750,0.005169,0.005169,0.005378,0.005308,0.004680,0.004679,0.004749,0.004749,0.004260,0.004889,2,1000
MinMax3,Decrescente,1000,0.008521,0.006286,0.005308,0.004819,0.004680,0.004750,0.004819,0.004749,0.004819,0.004749,0.005350,2,1000
MinMax3,Aleatória,10000,0.060064,0.048261,0.042394,0.041975,0.040089,0.038273,0.038134,0.038273,0.037644,0.037086,0.042219,1,1000
MinMax3,Crescente,10000,0.041137,0.039531,0.036737,0.037505,0.037016,0.037784,0.037645,0.037574,0.037226,0.036807,0.037896,1,1000
MinMax3,Decrescente,10000,0.042115,0.036317,0.034851,0.034292,0.033803,0.033385,0.033315,0.033315,0.033384,0.033384,0.034816,1,1000
MinMax3,Aleatória,100000,0.579199,0.569631,0.561599,0.561250,0.561948,0.566068,0.576266,0.565440,0.564044,0.561389,0.566683,1,1000
MinMax3,Crescente,100000,0.275805,0.279158,0.279577,0.275317,0.274828,0.298993,0.274478,0.275038,0.274968,0.274898,0.278306,1,1000
MinMax3,Decrescente,100000,0.295152,0.278740,0.274409,0.274339,0.278949,0.274129,0.274409,0.278041,0.279508,0.300460,0.280814,1,1000
MinMax3,Aleatória,500000,3.041547,2.887824,2.930777,3.072346,2.877488,3.012841,2.888034,2.912548,2.864636,3.076327,2.956437,1,1000
MinMax3,Crescente,500000,1.315054,1.324273,1.327346,1.364501,1.319384,1.340267,1.314146,1.314285,1.324971,1.555519,1.349975,1,1000
MinMax3,Decrescente,500000,1.349835,1.345574,1.341244,1.449220,1.441258,1.346064,1.340895,1.312959,1.645686,1.438535,1.401127,1,1000
