# Algoritmo,Ordenação do Vetor,Tamanho do vetor (n),t1 (ms),t2 (ms),t3 (ms),t4 (ms),t5 (ms),t6 (ms),t7 (ms),t8 (ms),t9 (ms),t10 (ms),Média (ms),Min,Max
MinMax1,Aleatória,1000,0.004290,0.003738,0.003322,0.003253,0.003806,0.003392,0.003322,0.003252,0.003737,0.003253,0.003537,1,1000
MinMax1,Crescente,1000,0.007613,0.005121,0.004222,0.004291,0.003876,0.004221,0.004290,0.003737,0.003807,0.003806,0.004498,1,1000
MinMax1,Decrescente,1000,0.006921,0.005190,0.004221,0.004291,0.004291,0.004290,0.004152,0.004221,0.004291,0.004290,0.004616,1,1000
MinMax1,Aleatória,10000,0.025052,0.025122,0.045261,0.027405,0.024707,0.024707,0.024776,0.024499,0.025053,0.031627,0.027821,1,1000
MinMax1,Crescente,10000,0.033980,0.033081,0.032596,0.032873,0.032527,0.032596,0.032596,0.032596,0.035988,0.032596,0.033143,1,1000
MinMax1,Decrescente,10000,0.034118,0.033081,0.032527,0.032320,0.033081,0.032596,0.032665,0.032596,0.036956,0.032596,0.033254,1,1000
MinMax1,Aleatória,100000,0.244645,0.235994,0.245683,0.234956,0.239385,0.236478,0.236824,0.234610,0.239177,0.239731,0.238748,1,1000
MinMax1,Crescente,100000,0.245064,0.243609,0.243678,0.243540,0.243886,0.244094,0.264256,0.243470,0.239452,0.243747,0.245480,1,1000
MinMax1,Decrescente,100000,0.244648,0.239452,0.239867,0.239798,0.240491,0.238966,0.240283,0.244301,0.257951,0.240352,0.242611,1,1000
MinMax1,Aleatória,500000,1.193655,1.172800,1.169059,1.184025,1.164832,1.168989,1.192131,1.194279,1.168643,1.170514,1.177893,1,1000
MinMax1,Crescente,500000,1.215619,1.172038,1.179313,1.172038,1.188875,1.174394,1.172108,1.194348,1.188736,1.173978,1.183145,1,1000
MinMax1,Decrescente,500000,1.153485,1.169937,1.155082,1.156886,1.147099,1.172227,1.173686,1.306548,1.216446,1.163551,1.181495,1,1000
MinMax2,Aleatória,1000,0.003737,0.003391,0.002353,0.003807,0.003322,0.003807,0.003253,0.003737,0.003391,0.004291,0.003509,1,1000
MinMax2,Crescente,1000,0.007475,0.003737,0.003737,0.003807,0.003391,0.003252,0.003253,0.003322,0.003253,0.003807,0.003903,1,1000
MinMax2,Decrescente,1000,0.006644,0.005260,0.004291,0.004291,0.004222,0.004291,0.004222,0.004290,0.004360,0.004637,0.004651,1,1000
MinMax2,Aleatória,10000,0.024568,0.024084,0.024638,0.024222,0.024500,0.024361,0.023945,0.024153,0.024084,0.024084,0.024264,1,1000
MinMax2,Crescente,10000,0.034257,0.032042,0.031628,0.031627,0.031558,0.031143,0.031558,0.031628,0.036749,0.032181,0.032437,1,1000
MinMax2,Decrescente,10000,0.036195,0.035018,0.034464,0.034395,0.034534,0.034534,0.034119,0.034257,0.034326,0.034465,0.034631,1,1000
MinMax2,Aleatória,100000,0.232534,0.235579,0.291083,0.235233,0.231218,0.235371,0.230803,0.230872,0.237724,0.238277,0.239869,1,1000
MinMax2,Crescente,100000,0.239451,0.240699,0.238412,0.238966,0.237650,0.238759,0.238759,0.238759,0.238897,0.239521,0.238987,1,1000
MinMax2,Decrescente,100000,0.246380,0.239729,0.239452,0.243817,0.243471,0.239590,0.247004,0.243748,0.239521,0.239729,0.242244,1,1000
MinMax2,Aleatória,500000,1.209938,1.138434,1.140167,1.148135,1.171137,1.149590,1.153678,1.161576,1.137048,1.142246,1.155195,1,1000
MinMax2,Crescente,500000,1.193309,1.152153,1.151114,1.184926,1.195318,1.166772,1.162685,1.182432,1.159428,1.164486,1.171262,1,1000
MinMax2,Decrescente,500000,1.156817,1.176115,1.150709,1.150917,1.150570,1.166188,1.151333,1.154666,1.175282,1.180071,1.161267,1,1000
MinMax3,Aleatória,1000,0.005675,0.003738,0.003737,0.002906,0.004637,0.003737,0.003322,0.002837,0.002837,0.002907,0.003633,1,1000
MinMax3,Crescente,1000,0.003737,0.003322,0.003322,0.003322,0.003737,0.003391,0.003322,0.003253,0.003252,0.003321,0.003398,1,1000
MinMax3,Decrescente,1000,0.006159,0.004290,0.003391,0.003322,0.003738,0.003322,0.003807,0.003737,0.003391,0.003322,0.003848,1,1000
MinMax3,Aleatória,10000,0.039102,0.032111,0.029344,0.027890,0.026437,0.025883,0.026021,0.025468,0.024568,0.025122,0.028195,1,1000
MinMax3,Crescente,10000,0.029275,0.032112,0.025468,0.025191,0.025053,0.025398,0.025329,0.025261,0.025122,0.034465,0.027267,1,1000
MinMax3,Decrescente,10000,0.029690,0.024568,0.023668,0.023046,0.022561,0.022284,0.022147,0.022423,0.022700,0.022215,0.023530,1,1000
MinMax3,Aleatória,100000,0.389840,0.375307,0.377521,0.372885,0.371985,0.393023,0.374546,0.368178,0.371569,0.394615,0.378947,1,1000
MinMax3,Crescente,100000,0.185686,0.182637,0.182083,0.209867,0.186517,0.186725,0.186933,0.186864,0.182152,0.182360,0.187182,1,1000
MinMax3,Decrescente,100000,0.188388,0.185893,0.206610,0.190328,0.190120,0.208412,0.186171,0.185963,0.189774,0.181598,0.191326,1,1000
MinMax3,Aleatória,500000,1.940556,1.910209,1.964044,1.917899,1.941248,1.919285,1.931826,1.904805,1.921779,1.946376,1.929803,1,1000
MinMax3,Crescente,500000,0.902447,0.891431,0.884363,0.874733,0.866487,0.890530,0.871615,0.875772,0.877920,0.871407,0.880670,1,1000
MinMax3,Decrescente,500000,0.883596,1.015487,0.906920,0.906920,0.867144,0.887831,0.897201,0.871725,0.871864,0.871518,0.898021,1,1000
