# Algoritmo,Ordenação do Vetor,Tamanho do vetor (n),t1 (ms),t2 (ms),t3 (ms),t4 (ms),t5 (ms),t6 (ms),t7 (ms),t8 (ms),t9 (ms),t10 (ms),Média (ms),Min,Max
MinMax1,Aleatória,1000,0.003700,0.002100,0.002100,0.002000,0.002100,0.002000,0.002100,0.002100,0.002000,0.002000,0.002220,1,1000
MinMax1,Crescente,1000,0.005700,0.005900,0.003100,0.002700,0.002600,0.002600,0.002500,0.002500,0.002500,0.002500,0.003260,1,1000
MinMax1,Decrescente,1000,0.005600,0.003200,0.002600,0.002600,0.002600,0.002500,0.002500,0.002500,0.002500,0.002400,0.002900,1,1000
MinMax1,Aleatória,10000,0.019800,0.019300,0.019200,0.019300,0.019300,0.019200,0.019300,0.019300,0.028200,0.020400,0.020330,1,1000
MinMax1,Crescente,10000,0.028300,0.029000,0.027600,0.027100,0.027100,0.027100,0.027100,0.027100,0.027100,0.027100,0.027460,1,1000
MinMax1,Decrescente,10000,0.029000,0.028300,0.027900,0.104900,0.028300,0.027900,0.027800,0.037800,0.028700,0.028300,0.036890,1,1000
MinMax1,Aleatória,100000,0.300600,0.199900,0.198700,0.198100,0.204000,0.198600,0.198400,0.199100,0.320100,0.203000,0.222050,1,1000
MinMax1,Crescente,100000,0.200200,0.356800,0.199700,0.199700,0.199600,0.204700,0.199700,0.241500,0.287600,0.221000,0.231050,1,1000
MinMax1,Decrescente,100000,0.200400,0.200000,0.201700,0.200000,0.200000,0.200000,0.200100,0.201600,0.200000,0.200100,0.200390,1,1000
MinMax1,Aleatória,500000,0.961500,0.960800,0.960300,0.979500,0.960300,0.960500,0.960000,0.960500,0.960300,0.960400,0.962410,1,1000
MinMax1,Crescente,500000,0.968100,0.965600,0.965800,0.967500,0.967200,0.967300,0.967400,0.967300,0.967400,0.967300,0.967090,1,1000
MinMax1,Decrescente,500000,0.968500,0.972500,1.006600,1.006700,1.007000,1.006700,1.006900,1.006700,1.006700,1.014400,1.000270,1,1000
MinMax2,Aleatória,1000,0.002400,0.002100,0.002000,0.002100,0.002100,0.002100,0.002000,0.002100,0.002100,0.002000,0.002100,1,1000
MinMax2,Crescente,1000,0.005500,0.002900,0.002400,0.002200,0.002200,0.002100,0.002100,0.002000,0.002000,0.002000,0.002540,1,1000
MinMax2,Decrescente,1000,0.005800,0.005400,0.005300,0.005300,0.005200,0.005200,0.005300,0.005300,0.005200,0.005300,0.005330,1,1000
MinMax2,Aleatória,10000,0.019600,0.019400,0.019300,0.019300,0.019300,0.019300,0.019300,0.019200,0.019300,0.019200,0.019320,1,1000
MinMax2,Crescente,10000,0.027700,0.027200,0.026700,0.026600,0.026600,0.026700,0.026600,0.026600,0.026500,0.026600,0.026780,1,1000
MinMax2,Decrescente,10000,0.027700,0.027300,0.027300,0.027300,0.027300,0.027400,0.027300,0.036100,0.026800,0.026600,0.028110,1,1000
MinMax2,Aleatória,100000,0.201000,0.192100,0.191800,0.402500,0.222500,0.211700,0.192600,0.195500,0.191800,0.191800,0.219330,1,1000
MinMax2,Crescente,100000,0.203100,0.199300,0.199300,0.199300,0.199200,0.214600,0.199800,0.199200,0.199400,0.199200,0.201240,1,1000
MinMax2,Decrescente,100000,0.209500,0.199500,0.199200,0.199200,0.199200,0.201100,0.199300,0.199200,0.199100,0.199200,0.200450,1,1000
MinMax2,Aleatória,500000,0.998300,0.971800,0.961200,0.960700,0.966700,1.052500,0.976600,0.960400,0.960500,0.960300,0.976900,1,1000
MinMax2,Crescente,500000,0.993500,0.976900,0.976500,0.967700,0.966700,0.966900,0.977400,0.967000,0.966900,0.967000,0.972650,1,1000
MinMax2,Decrescente,500000,0.968500,0.967600,0.967600,0.967700,0.967600,0.967600,0.967600,0.997500,0.967900,0.967600,0.970720,1,1000
MinMax3,Aleatória,1000,0.003800,0.002200,0.001900,0.001800,0.001700,0.001700,0.001500,0.001500,0.001500,0.001600,0.001920,1,1000
MinMax3,Crescente,1000,0.002800,0.002100,0.001900,0.001900,0.002000,0.002000,0.002000,0.001900,0.001900,0.001900,0.002040,1,1000
MinMax3,Decrescente,1000,0.004300,0.002300,0.002000,0.001900,0.001900,0.001800,0.001800,0.001800,0.001800,0.001800,0.002140,1,1000
MinMax3,Aleatória,10000,0.033100,0.030000,0.028800,0.027500,0.027000,0.026900,0.026700,0.025900,0.025800,0.026100,0.027780,1,1000
MinMax3,Crescente,10000,0.022700,0.021700,0.020700,0.020200,0.020100,0.071400,0.022200,0.020800,0.020300,0.020100,0.026020,1,1000
MinMax3,Decrescente,10000,0.023300,0.020100,0.019400,0.019000,0.018800,0.038400,0.022700,0.034300,0.021400,0.019600,0.023700,1,1000
MinMax3,Aleatória,100000,0.362100,0.328300,0.324900,0.326700,0.324500,0.323600,0.330900,0.325300,0.325700,0.325900,0.329790,1,1000
MinMax3,Crescente,100000,0.153300,0.152900,0.152800,0.152800,0.161700,0.152900,0.152800,0.152800,0.152700,0.152900,0.153760,1,1000
MinMax3,Decrescente,100000,0.153600,0.152800,0.152800,0.172300,0.153000,0.152700,0.156200,0.152800,0.152700,0.152700,0.155160,1,1000
MinMax3,Aleatória,500000,1.682600,1.651100,1.650200,1.653900,1.648200,1.655600,1.649600,1.648000,1.647600,1.650100,1.653690,1,1000
MinMax3,Crescente,500000,0.744900,0.743900,0.735200,0.731900,0.757100,0.897700,0.735300,0.733600,0.731800,0.733600,0.754500,1,1000
MinMax3,Decrescente,500000,0.734000,0.780800,0.743200,0.735300,0.732700,0.734500,0.734300,0.732400,0.734700,0.735800,0.739770,1,1000
