# Algoritmo,Ordenação do Vetor,Tamanho do vetor (n),t1 (ms),t2 (ms),t3 (ms),t4 (ms),t5 (ms),t6 (ms),t7 (ms),t8 (ms),t9 (ms),t10 (ms),Média (ms),Min,Max
MinMax1,Aleatória,1000,0.002400,0.002100,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002050,2,1000
MinMax1,Crescente,1000,0.005600,0.006100,0.003400,0.002700,0.002600,0.002500,0.002500,0.002500,0.002400,0.002400,0.003270,2,1000
MinMax1,Decrescente,1000,0.005800,0.003400,0.002800,0.002600,0.002500,0.002400,0.002500,0.002400,0.002400,0.002500,0.002930,2,1000
MinMax1,Aleatória,10000,0.019500,0.019300,0.019300,0.019300,0.019300,0.019200,0.019200,0.019200,0.019300,0.019300,0.019290,0,1000
MinMax1,Crescente,10000,0.028300,0.029300,0.027900,0.027400,0.027400,0.027400,0.027300,0.027400,0.027400,0.027500,0.027730,0,1000
MinMax1,Decrescente,10000,0.028400,0.028100,0.027800,0.027700,0.027700,0.027600,0.027700,0.027700,0.027600,0.027600,0.027790,0,1000
MinMax1,Aleatória,100000,0.199600,0.201600,0.199300,0.199400,0.208700,0.201700,0.320600,0.192000,0.191700,0.191800,0.210640,0,1000
MinMax1,Crescente,100000,0.201400,0.201400,0.201000,0.200900,0.200900,0.202600,0.201000,0.200900,0.201000,0.200900,0.201200,0,1000
MinMax1,Decrescente,100000,0.200300,0.200900,0.199300,0.199400,0.199300,0.199300,0.203900,0.199300,0.199300,0.199300,0.200030,0,1000
MinMax1,Aleatória,500000,0.961200,0.960700,0.960300,0.960400,0.960200,0.960500,0.960400,0.960300,0.960300,0.960400,0.960470,0,1000
MinMax1,Crescente,500000,0.970500,0.968200,0.967800,0.968000,0.968100,0.967900,0.988300,0.970200,0.971500,0.969900,0.971040,0,1000
MinMax1,Decrescente,500000,0.968500,0.967600,0.973500,0.967800,0.967700,0.967700,0.967600,0.967700,0.967500,0.967900,0.968350,0,1000
MinMax2,Aleatória,1000,0.002200,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002020,2,1000
MinMax2,Crescente,1000,0.005300,0.005800,0.003300,0.002500,0.002200,0.002200,0.002100,0.002100,0.002100,0.002100,0.002970,2,1000
MinMax2,Decrescente,1000,0.005800,0.003500,0.002900,0.002500,0.002500,0.002500,0.002500,0.002500,0.002500,0.002500,0.002970,2,1000
MinMax2,Aleatória,10000,0.020200,0.020100,0.020100,0.020000,0.020100,0.020000,0.020100,0.020100,0.020000,0.020100,0.020080,0,1000
MinMax2,Crescente,10000,0.027600,0.028700,0.027100,0.026600,0.026600,0.026500,0.026500,0.026400,0.026500,0.026600,0.026910,0,1000
MinMax2,Decrescente,10000,0.028200,0.028100,0.027700,0.027600,0.027600,0.027600,0.027600,0.027500,0.027500,0.027500,0.027690,0,1000
MinMax2,Aleatória,100000,0.203000,0.199500,0.196700,0.196400,0.197300,0.199400,0.199400,0.196600,0.199500,0.199400,0.198720,0,1000
MinMax2,Crescente,100000,0.201200,0.201100,0.201800,0.201600,0.201700,0.203300,0.201600,0.201600,0.201700,0.201700,0.201730,0,1000
