# Algoritmo,Ordenação do Vetor,Tamanho do vetor (n),t1 (ms),t2 (ms),t3 (ms),t4 (ms),t5 (ms),t6 (ms),t7 (ms),t8 (ms),t9 (ms),t10 (ms),Média (ms),Min,Max
MinMax1,Aleatória,1000,0.002374,0.001955,0.001886,0.001955,0.002375,0.002445,0.001816,0.001886,0.002375,0.001956,0.002102,0,999
MinMax1,Crescente,1000,0.004750,0.003283,0.002375,0.002374,0.002445,0.001886,0.002375,0.002305,0.002375,0.002375,0.002654,0,999
MinMax1,Decrescente,1000,0.004679,0.002934,0.002933,0.002445,0.002375,0.002374,0.002864,0.002375,0.002374,0.002375,0.002773,0,999
MinMax1,Aleatória,10000,0.008102,0.008452,0.008730,0.009011,0.008522,0.008731,0.009010,0.009010,0.009150,0.008521,0.008724,0,1000
MinMax1,Crescente,10000,0.015716,0.016274,0.015646,0.015855,0.015576,0.015856,0.015645,0.015856,0.015715,0.015297,0.015744,0,1000
MinMax1,Decrescente,10000,0.016205,0.015506,0.015226,0.015087,0.015227,0.015226,0.015436,0.015087,0.015366,0.015646,0.015401,0,1000
MinMax1,Aleatória,100000,0.076273,0.075924,0.076622,0.075505,0.075854,0.075784,0.079556,0.075994,0.075994,0.075644,0.076315,0,1000
MinMax1,Crescente,100000,0.083118,0.093595,0.138647,0.212824,0.153314,0.172104,0.151149,0.141092,0.144235,0.152337,0.144241,0,1000
MinMax1,Decrescente,100000,0.084166,0.083397,0.083747,0.083328,0.084375,0.083328,0.083816,0.083467,0.083537,0.083747,0.083691,0,1000
MinMax1,Aleatória,500000,0.379968,0.383111,0.376336,0.373402,0.373193,0.372774,0.373542,0.390585,0.373053,0.372634,0.376860,0,1000
MinMax1,Crescente,500000,0.382623,0.398826,0.384509,0.385067,0.383810,0.382762,0.383042,0.382692,0.382482,0.382623,0.384844,0,1000
MinMax1,Decrescente,500000,0.389607,0.386952,0.383810,0.401621,0.386045,0.386184,0.379130,0.381365,0.380876,0.379899,0.385549,0,1000
MinMax2,Aleatória,1000,0.002375,0.001956,0.001886,0.001397,0.001886,0.001816,0.001397,0.001467,0.001955,0.001467,0.001760,0,999
MinMax2,Crescente,1000,0.004820,0.002933,0.002375,0.001885,0.002305,0.002375,0.002375,0.001886,0.002374,0.001886,0.002521,0,999
MinMax2,Decrescente,1000,0.004819,0.002864,0.001886,0.002864,0.002375,0.002375,0.002864,0.002375,0.002444,0.001467,0.002633,0,999
MinMax2,Aleatória,10000,0.009080,0.006216,0.006705,0.006147,0.006216,0.006286,0.006705,0.005588,0.005658,0.005798,0.006440,0,1000
MinMax2,Crescente,10000,0.012432,0.012014,0.010267,0.009010,0.009150,0.008521,0.008591,0.008591,0.009010,0.008591,0.009618,0,1000
MinMax2,Decrescente,10000,0.015366,0.012293,0.010687,0.009429,0.009569,0.009220,0.008940,0.009080,0.008731,0.008451,0.010177,0,1000
MinMax2,Aleatória,100000,0.051547,0.069987,0.051058,0.050918,0.050639,0.050709,0.050988,0.051128,0.051059,0.050849,0.052888,0,1000
MinMax2,Crescente,100000,0.117344,0.115109,0.100650,0.066774,0.058951,0.056296,0.056297,0.055878,0.056366,0.056227,0.073989,0,1000
MinMax2,Decrescente,100000,0.057135,0.078299,0.077740,0.057274,0.057205,0.057344,0.057065,0.056506,0.057624,0.057275,0.061347,0,1000
MinMax2,Aleatória,500000,0.254383,0.253475,0.256898,0.249214,0.253895,0.249563,0.253126,0.248935,0.249004,0.249634,0.251813,0,1000
MinMax2,Crescente,500000,0.258853,0.265209,0.257666,0.260250,0.258364,0.258086,0.259063,0.258644,0.258364,0.254243,0.258874,0,1000
MinMax2,Decrescente,500000,0.259621,0.262276,0.261926,0.257177,0.261367,0.261648,0.265838,0.261019,0.260879,0.259831,0.261158,0,1000
MinMax3,Aleatória,1000,0.003841,0.004261,0.002934,0.001397,0.001397,0.002375,0.001885,0.001956,0.001886,0.001466,0.002340,0,999
MinMax3,Crescente,1000,0.001956,0.001886,0.001886,0.001956,0.001816,0.001396,0.001397,0.001886,0.001886,0.001885,0.001795,0,999
MinMax3,Decrescente,1000,0.003283,0.003283,0.002445,0.001885,0.002375,0.001956,0.001955,0.001956,0.001886,0.001885,0.002291,0,999
MinMax3,Aleatória,10000,0.022701,0.018649,0.016484,0.014877,0.014179,0.012991,0.013271,0.013061,0.012363,0.012573,0.015115,0,1000
MinMax3,Crescente,10000,0.012922,0.010966,0.009220,0.009010,0.008591,0.008731,0.008521,0.008591,0.008102,0.007683,0.009234,0,1000
MinMax3,Decrescente,10000,0.012503,0.010127,0.008941,0.008521,0.007753,0.007613,0.007544,0.007753,0.007194,0.007124,0.008507,0,1000
MinMax3,Aleatória,100000,0.218132,0.218132,0.216945,0.212196,0.216665,0.219809,0.215828,0.215618,0.209820,0.214780,0.215792,0,1000
MinMax3,Crescente,100000,0.032479,0.046798,0.037159,0.037229,0.037298,0.037368,0.037089,0.037158,0.037299,0.037229,0.037711,0,1000
MinMax3,Decrescente,100000,0.034784,0.034225,0.032689,0.033876,0.033876,0.033317,0.033875,0.033806,0.033387,0.033317,0.033715,0,1000
MinMax3,Aleatória,500000,0.994553,0.975974,0.967801,0.972271,0.987568,0.969897,0.965985,0.967662,0.973249,0.962214,0.973717,0,1000
MinMax3,Crescente,500000,0.135573,0.130684,0.131801,0.136342,0.135852,0.135783,0.136132,0.132011,0.135783,0.135573,0.134553,0,1000
MinMax3,Decrescente,500000,0.136062,0.131243,0.135782,0.136132,0.133617,0.134456,0.137808,0.140183,0.136690,0.132221,0.135419,0,1000
